Frequency ratio for engciphertext 2 grams:
er 0.11	 Occurrences:3
x( 0.11	 Occurrences:3
po 0.11	 Occurrences:3
lt 0.11	 Occurrences:3
zt 0.11	 Occurrences:3
zb 0.07	 Occurrences:2
zz 0.07	 Occurrences:2
qi 0.07	 Occurrences:2
bl 0.07	 Occurrences:2
(i 0.07	 Occurrences:2
rv 0.07	 Occurrences:2
c) 0.07	 Occurrences:2
lz 0.07	 Occurrences:2
ca 0.07	 Occurrences:2
(y 0.07	 Occurrences:2
ve 0.07	 Occurrences:2
or 0.07	 Occurrences:2
xu 0.07	 Occurrences:2
ub 0.07	 Occurrences:2
jb 0.07	 Occurrences:2
bt 0.07	 Occurrences:2
h) 0.07	 Occurrences:2
)p 0.07	 Occurrences:2
so 0.07	 Occurrences:2
di 0.07	 Occurrences:2
fe 0.07	 Occurrences:2
az 0.07	 Occurrences:2
yu 0.07	 Occurrences:2
zp 0.07	 Occurrences:2
rp 0.07	 Occurrences:2
n) 0.07	 Occurrences:2
zv 0.07	 Occurrences:2
jn 0.07	 Occurrences:2
bp 0.07	 Occurrences:2
xl 0.07	 Occurrences:2
ep 0.07	 Occurrences:2
cx 0.07	 Occurrences:2
x) 0.07	 Occurrences:2
pt 0.07	 Occurrences:2
kc 0.07	 Occurrences:2
ip 0.07	 Occurrences:2
ls 0.07	 Occurrences:2
kd 0.07	 Occurrences:2
ol 0.07	 Occurrences:2
on 0.07	 Occurrences:2
tj 0.07	 Occurrences:2
nj 0.07	 Occurrences:2
je 0.07	 Occurrences:2
cr 0.07	 Occurrences:2
dc 0.07	 Occurrences:2
(n 0.07	 Occurrences:2
h
 0.07	 Occurrences:2
ng 0.07	 Occurrences:2
kt 0.07	 Occurrences:2
pn 0.07	 Occurrences:2
sa 0.07	 Occurrences:2
ao 0.07	 Occurrences:2
28 0.07	 Occurrences:2
bf 0.04	 Occurrences:1
b( 0.04	 Occurrences:1
)r 0.04	 Occurrences:1
zj 0.04	 Occurrences:1
sc 0.04	 Occurrences:1
ae 0.04	 Occurrences:1
uc 0.04	 Occurrences:1
z( 0.04	 Occurrences:1
z) 0.04	 Occurrences:1
kr 0.04	 Occurrences:1
ra 0.04	 Occurrences:1
da 0.04	 Occurrences:1
eu 0.04	 Occurrences:1
hb 0.04	 Occurrences:1
cl 0.04	 Occurrences:1
rt 0.04	 Occurrences:1
ll 0.04	 Occurrences:1
du 0.04	 Occurrences:1
dl 0.04	 Occurrences:1
cf 0.04	 Occurrences:1
ba 0.04	 Occurrences:1
xa 0.04	 Occurrences:1
jt 0.04	 Occurrences:1
rk 0.04	 Occurrences:1
z- 0.04	 Occurrences:1
-v 0.04	 Occurrences:1
)l 0.04	 Occurrences:1
cv 0.04	 Occurrences:1
ct 0.04	 Occurrences:1
uh 0.04	 Occurrences:1
cj 0.04	 Occurrences:1
uo 0.04	 Occurrences:1
h: 0.04	 Occurrences:1
:h 0.04	 Occurrences:1
(c 0.04	 Occurrences:1
cu 0.04	 Occurrences:1
xk 0.04	 Occurrences:1
xp 0.04	 Occurrences:1
zu 0.04	 Occurrences:1
xt 0.04	 Occurrences:1
dh 0.04	 Occurrences:1
pa 0.04	 Occurrences:1
bd 0.04	 Occurrences:1
b
 0.04	 Occurrences:1

o 0.04	 Occurrences:1
yg 0.04	 Occurrences:1
si 0.04	 Occurrences:1
bx 0.04	 Occurrences:1
nd 0.04	 Occurrences:1
is 0.04	 Occurrences:1
cs 0.04	 Occurrences:1
lv 0.04	 Occurrences:1
lp 0.04	 Occurrences:1
dz 0.04	 Occurrences:1
)j 0.04	 Occurrences:1
r( 0.04	 Occurrences:1
(l 0.04	 Occurrences:1
qe 0.04	 Occurrences:1
ue 0.04	 Occurrences:1
ej 0.04	 Occurrences:1
b) 0.04	 Occurrences:1
)i 0.04	 Occurrences:1
x— 0.04	 Occurrences:1
—n 0.04	 Occurrences:1
kh 0.04	 Occurrences:1
kb 0.04	 Occurrences:1
ka 0.04	 Occurrences:1
r) 0.04	 Occurrences:1
)— 0.04	 Occurrences:1
—h 0.04	 Occurrences:1
rs 0.04	 Occurrences:1
th 0.04	 Occurrences:1
ye 0.04	 Occurrences:1

i 0.04	 Occurrences:1
rl 0.04	 Occurrences:1
ya 0.04	 Occurrences:1
ac 0.04	 Occurrences:1
ii 0.04	 Occurrences:1
xb 0.04	 Occurrences:1
y; 0.04	 Occurrences:1
;o 0.04	 Occurrences:1
ld 0.04	 Occurrences:1
jc 0.04	 Occurrences:1

h 0.04	 Occurrences:1
dj 0.04	 Occurrences:1
db 0.04	 Occurrences:1
og 0.04	 Occurrences:1
qo 0.04	 Occurrences:1
(r 0.04	 Occurrences:1
ex 0.04	 Occurrences:1
zl 0.04	 Occurrences:1
i2 0.04	 Occurrences:1
82 0.04	 Occurrences:1
8e 0.04	 Occurrences:1
rf 0.04	 Occurrences:1
ke 0.04	 Occurrences:1
x
 0.04	 Occurrences:1

c 0.04	 Occurrences:1
ef 0.04	 Occurrences:1
vv 0.04	 Occurrences:1
xr 0.04	 Occurrences:1
i) 0.04	 Occurrences:1
